bill	chamber	roll	date	yeas	nays	desc	status
HB3709	S	1582128	2025-05-30	37	19	Third Reading in Senate	judged:batch-07
HB3709	H	1582505	2025-05-31	78	39	Concurrence in House	judged:batch-07
HB2425	H	1543722	2025-04-10	76	38	Third Reading in House	judged:batch-02
HB2425	S	1581340	2025-05-29	36	18	Third Reading in Senate	judged:batch-02
HB2419	H	1544981	2025-04-10	76	38	Third Reading in House	screened:superseded-roll — HB 2419 — the House later voted the enacted Senate version (roll 1582280); that concurrence is the imported roll
HB2419	S	1576506	2025-05-22	37	19	Third Reading in Senate	judged:batch-04
HB2419	H	1582280	2025-05-30	77	39	Concurrence in House	judged:batch-04
SB0019	S	1545001	2025-04-10	32	22	Third Reading in Senate	judged:batch-08
SB0019	H	1574260	2025-05-20	74	37	Third Reading in House	judged:batch-08
SB0248	S	1562104	2025-04-30	34	17	Third Reading in Senate	screened:contested-direction — post-conviction relief for under-21 offenders cuts both toward fairness and against finality for victims
SB0248	H	1719968	2026-05-31	63	42	House Third Reading	screened:contested-direction — post-conviction relief for under-21 offenders cuts both toward fairness and against finality for victims
HB5384	H	1716837	2026-04-09	70	36	House Third Reading	screened:no-defensible-stance — removes an annual currency-exchange examination mandate
HB5384	S	1716838	2026-05-14	38	19	Senate Third Reading	screened:no-defensible-stance — removes an annual currency-exchange examination mandate
HB5492	H	1718096	2026-04-15	74	37	House Third Reading	screened:superseded-roll — HB 5492 — the House later voted the enacted Senate version (roll 1718098); that concurrence is the imported roll
HB5492	S	1718097	2026-05-30	38	19	Senate Third Reading	judged:batch-08
HB5492	H	1718098	2026-05-31	75	39	House Concurrence	judged:batch-08
HB5093	H	1718440	2026-04-09	71	37	House Third Reading	judged:batch-02
HB5093	S	1718441	2026-05-30	38	19	Senate Third Reading	judged:batch-02
HB5093	H	1718442	2026-05-31	70	40	House Concurrence	screened:superseded-roll — another roll on this measure was judged in batch-02 under the one-roll-per-chamber rule
HB5095	H	1719534	2026-04-14	72	37	House Third Reading	judged:batch-01
HB5095	S	1719535	2026-05-21	38	19	Senate Third Reading	judged:batch-01
HB3374	H	1546353	2025-04-11	74	39	Third Reading in House	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3374	S	1582817	2025-05-31	37	19	Third Reading in Senate	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3374	H	1582818	2025-05-31	77	38	Concurrence in House	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3374	H	1721364	2025-06-01	77	38	House Concurrence	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3487	H	1543614	2025-04-10	75	37	Third Reading in House	screened:no-defensible-stance — professional-licensure data collection
HB3487	S	1576006	2025-05-22	37	19	Third Reading in Senate	screened:no-defensible-stance — professional-licensure data collection
HB4844	H	1716767	2026-04-16	69	34	House Third Reading	judged:batch-02
HB4844	S	1716768	2026-05-20	35	20	Senate Third Reading	judged:batch-02
HB4533	H	1717543	2026-04-14	73	38	House Third Reading	judged:batch-05
HB4533	S	1717544	2026-05-20	39	19	Senate Third Reading	judged:batch-05
HB5487	H	1719350	2026-04-09	70	36	House Third Reading	screened:no-defensible-stance — law firm ownership eligibility
HB5487	S	1719351	2026-05-30	39	19	Senate Third Reading	screened:no-defensible-stance — law firm ownership eligibility
HB5487	H	1719352	2026-05-31	75	39	House Concurrence	screened:no-defensible-stance — law firm ownership eligibility
HB4834	H	1721015	2026-04-08	68	37	House Third Reading	judged:batch-02
HB4834	S	1721016	2026-05-20	39	19	Senate Third Reading	judged:batch-02
HB2949	H	1720747	2026-05-31	76	39	House Concurrence	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB2949	S	1720749	2026-05-31	37	18	Senate Third Reading	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3492	S	1721809	2025-10-29	37	18	Senate Third Reading	screened:contested-direction — juvenile justice study paired with sex-offender registration procedure changes
HB3492	H	1721810	2025-10-30	66	39	House Concurrence	screened:contested-direction — juvenile justice study paired with sex-offender registration procedure changes
HB5020	H	1717225	2026-04-17	70	34	House Third Reading	screened:contested-direction — extended-jurisdiction juvenile prosecution: more process, but also adult-sentence exposure
HB5020	S	1717226	2026-05-30	37	18	Senate Third Reading	screened:contested-direction — extended-jurisdiction juvenile prosecution: more process, but also adult-sentence exposure
HB5020	H	1717227	2026-05-31	75	39	House Concurrence	screened:contested-direction — extended-jurisdiction juvenile prosecution: more process, but also adult-sentence exposure
HB4420	H	1723398	2026-04-16	75	36	House Third Reading	judged:batch-05
HB4420	S	1723399	2026-05-20	39	19	Senate Third Reading	judged:batch-05
HB4966	H	1719211	2026-04-16	71	34	House Third Reading	screened:superseded-roll — HB 4966 — the House later voted the enacted Senate version (roll 1719213); that concurrence is the imported roll
HB4966	S	1719212	2026-05-29	35	19	Senate Third Reading	judged:batch-05
HB4966	H	1719213	2026-05-31	75	40	House Concurrence	judged:batch-05
HB3751	H	1541747	2025-04-09	76	39	Third Reading in House	judged:batch-07
HB3751	S	1719830	2026-05-28	40	19	Senate Third Reading	judged:batch-07
HB4714	H	1721520	2026-04-14	73	37	House Third Reading	dropped:filter-3 — the act rewrites the duties and membership of the Children’s Mental Health Partnership, an advisory body
HB4714	S	1721521	2026-05-19	40	19	Senate Third Reading	dropped:filter-3 — the act rewrites the duties and membership of the Children’s Mental Health Partnership, an advisory body
SB0405	S	1562456	2025-04-30	38	18	Third Reading in Senate	judged:batch-02
SB0405	H	1576636	2025-05-22	74	39	Third Reading in House	judged:batch-02
SB0405	S	1582743	2025-05-31	35	19	Concurrence in Senate	screened:superseded-roll — another roll on this measure was judged in batch-02 under the one-roll-per-chamber rule
SB2487	H	1576864	2025-05-23	71	35	Third Reading in House	screened:contested-direction — makes an IDHR fact-finding conference discretionary rather than mandatory — efficiency or weaker enforcement
SB2487	S	1582728	2025-05-31	38	18	Concurrence in Senate	screened:contested-direction — makes an IDHR fact-finding conference discretionary rather than mandatory — efficiency or weaker enforcement
HB0850	H	1580241	2025-05-28	74	40	Third Reading in House	screened:no-defensible-stance — ISP data analysis duty
HB0850	S	1582412	2025-05-31	36	17	Third Reading in Senate	screened:no-defensible-stance — ISP data analysis duty
SB3487	S	1723040	2026-04-16	37	19	Senate Third Reading	judged:batch-02
SB3487	H	1723041	2026-05-21	72	34	House Third Reading	judged:batch-02
HB3363	H	1542294	2025-04-09	72	41	Third Reading in House	screened:superseded-roll — HB 3363 — the House later voted the enacted Senate version (roll 1582854); that concurrence is the imported roll
HB3363	S	1582633	2025-05-31	36	19	Third Reading in Senate	judged:batch-07
HB3363	H	1582854	2025-05-31	77	36	Concurrence in House	judged:batch-07
HB5390	H	1718529	2026-04-16	73	34	House Third Reading	judged:batch-02
HB5390	S	1718530	2026-05-20	39	19	Senate Third Reading	judged:batch-02
HB5295	H	1721610	2026-04-16	73	34	House Third Reading	judged:batch-01
HB5295	S	1721611	2026-05-30	38	19	Senate Third Reading	judged:batch-01
HB5295	H	1721612	2026-05-31	73	39	House Concurrence	screened:duplicate-chamber — HB 5295’s House slot is already filled by batch-01 roll 1721610, whose description already states that the Senate changed the definitions and access rules and that the final version became law
HB1083	H	1586216	2025-04-10	74	38	Third Reading in House	judged:batch-02
HB1083	S	1586217	2025-05-21	39	18	Third Reading in Senate	judged:batch-02
HB4639	H	1718656	2026-04-16	65	39	House Third Reading	judged:batch-05
HB4639	S	1718657	2026-05-20	39	18	Senate Third Reading	judged:batch-05
HB1863	S	1720392	2025-10-29	39	18	Senate Third Reading	dropped:filter-5 — the One Health Task Force is paired with a Boards and Commissions Review Act that repeals unrelated bodies
HB1863	H	1720393	2025-10-30	76	35	House Concurrence	dropped:filter-5 — the One Health Task Force is paired with a Boards and Commissions Review Act that repeals unrelated bodies
SB1519	S	1542233	2025-04-09	37	17	Third Reading in Senate	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB1519	H	1580328	2025-05-28	69	44	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB0343	S	1723995	2026-05-21	34	21	Senate Third Reading	screened:local-or-narrow — one village, district or fee; not a statewide position
SB0343	H	1723997	2026-05-31	75	34	House Third Reading	screened:local-or-narrow — one village, district or fee; not a statewide position
HB0767	H	1717418	2025-10-28	74	38	House Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB0767	S	1717419	2025-10-30	40	18	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2335	H	1541579	2025-04-09	75	40	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2335	S	1718546	2026-05-29	36	16	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2335	H	1718547	2026-05-31	74	39	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB2319	S	1576405	2025-05-22	39	19	Third Reading in Senate	screened:superseded-roll — SB 2319 — the Senate later voted the enacted House version (roll 1582888); that concurrence is the imported roll
SB2319	H	1582429	2025-05-31	81	36	Third Reading in House	judged:batch-06
SB2319	S	1582888	2025-05-31	39	18	Concurrence in Senate	judged:batch-06
SB2111	S	1717317	2025-10-30	36	21	Senate Concurrence	dropped:filter-5 — letting a bicycle roll through a stop sign after slowing and yielding is a genuine safety-versus-mobility dispute, not a one-directional measure
SB2111	H	1717319	2025-10-31	72	32	House Third Reading	dropped:filter-5 — letting a bicycle roll through a stop sign after slowing and yielding is a genuine safety-versus-mobility dispute, not a one-directional measure
SB1507	S	1543883	2025-04-10	37	19	Third Reading in Senate	screened:no-defensible-stance — a UIC transportation study
SB1507	H	1576906	2025-05-22	77	34	Third Reading in House	screened:no-defensible-stance — a UIC transportation study
HB4277	H	1723605	2026-04-14	75	33	House Third Reading	judged:batch-08
HB4277	S	1723606	2026-05-20	36	19	Senate Third Reading	judged:batch-08
HB5024	H	1716944	2026-04-08	72	35	House Third Reading	judged:batch-02
HB5024	S	1716945	2026-05-31	39	17	Senate Third Reading	judged:batch-03 — imported with official_vote_date 2026-06-01 (ILGA action trail)
SB1911	S	1722052	2025-10-30	37	19	Senate Concurrence	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
SB1911	H	1722055	2025-10-30	76	33	House Third Reading	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
SB2039	S	1535789	2025-04-03	37	16	Third Reading in Senate	screened:no-defensible-stance — a higher-education data dashboard report
SB2039	H	1578731	2025-05-27	75	39	Third Reading in House	screened:no-defensible-stance — a higher-education data dashboard report
SB2039	S	1582643	2025-05-31	38	18	Concurrence in Senate	screened:no-defensible-stance — a higher-education data dashboard report
HB1312	S	1717212	2025-10-30	40	18	Senate Third Reading	judged:batch-02
HB1312	H	1717214	2025-10-31	75	32	House Concurrence	judged:batch-02
HB3564	H	1539660	2025-04-08	61	43	Third Reading in House	screened:superseded-roll — HB 3564 — the House later voted the enacted Senate version (roll 1722464); that concurrence is the imported roll
HB3564	S	1722460	2025-10-30	39	16	Senate Third Reading	judged:batch-07
HB3564	H	1722461	2026-02-26	56	36	House Concurrence	screened:failed-motion — HB 3564’s first House concurrence motion LOST 56-36 on 2026-02-26; the motion that carried is roll 1722464 on 2026-04-08
HB3564	H	1722464	2026-04-08	64	40	House Concurrence	judged:batch-07
SB2431	S	1542039	2025-04-09	39	16	Third Reading in Senate	screened:no-defensible-stance — DNR fireworks authorisation
SB2431	H	1580247	2025-05-28	75	39	Third Reading in House	screened:no-defensible-stance — DNR fireworks authorisation
SB2431	S	1582635	2025-05-31	40	17	Concurrence in Senate	screened:no-defensible-stance — DNR fireworks authorisation
HB2726	H	1544869	2025-04-10	75	37	Third Reading in House	judged:batch-04
HB2726	S	1575184	2025-05-21	39	16	Third Reading in Senate	judged:batch-04
HB4456	H	1717748	2026-04-15	74	37	House Third Reading	judged:batch-02
HB4456	S	1717749	2026-05-19	42	17	Senate Third Reading	judged:batch-02
SB0453	S	1580076	2025-05-28	39	16	Third Reading in Senate	dropped:filter-3 — initial-agreement bargaining rules under the Public Labor Relations Act have no labor research area
SB0453	H	1582370	2025-05-31	82	33	Third Reading in House	dropped:filter-3 — initial-agreement bargaining rules under the Public Labor Relations Act have no labor research area
HB3493	H	1545477	2025-04-11	77	38	Third Reading in House	screened:no-defensible-stance — carve-out from a local-regulation rule for one class of municipality
HB3493	S	1582177	2025-05-30	40	16	Third Reading in Senate	screened:no-defensible-stance — carve-out from a local-regulation rule for one class of municipality
HB3493	H	1582780	2025-05-31	77	39	Concurrence in House	screened:no-defensible-stance — carve-out from a local-regulation rule for one class of municipality
SB1976	S	1575572	2025-05-21	38	19	Third Reading in Senate	judged:batch-01
SB1976	H	1582212	2025-05-30	80	32	Third Reading in House	judged:batch-01
HB4762	H	1723720	2026-04-16	72	37	House Third Reading	dropped:filter-5 — the act both lowers licensing barriers for people with criminal records and seals professional discipline records from the public after five years; those pull in opposite directions and are of comparable weight
HB4762	S	1723721	2026-05-20	40	16	Senate Third Reading	dropped:filter-5 — the act both lowers licensing barriers for people with criminal records and seals professional discipline records from the public after five years; those pull in opposite directions and are of comparable weight
HB4762	H	1723722	2026-05-27	74	35	House Concurrence	dropped:filter-5 — the act both lowers licensing barriers for people with criminal records and seals professional discipline records from the public after five years; those pull in opposite directions and are of comparable weight
HB3489	H	1539817	2025-04-08	77	36	Third Reading in House	judged:batch-01
HB3489	S	1576151	2025-05-22	41	16	Third Reading in Senate	judged:batch-01
SB2968	S	1722106	2026-04-16	41	16	Senate Third Reading	screened:no-defensible-stance — non-profit investment pool eligibility
SB2968	H	1722107	2026-05-27	75	36	House Third Reading	screened:no-defensible-stance — non-profit investment pool eligibility
HB1158	H	1538619	2025-04-07	72	30	Third Reading in House	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB1158	S	1575168	2025-05-21	42	16	Third Reading in Senate	screened:appropriations-or-bonds — no honest research area for a fund-the-government or bond vote
HB3510	H	1545087	2025-04-10	76	38	Third Reading in House	screened:mixed-direction — two stretch-code deadlines slip a year while a third is pulled forward a year; a schedule reshuffle, not a direction
HB3510	S	1576643	2025-05-22	42	16	Third Reading in Senate	screened:mixed-direction — two stretch-code deadlines slip a year while a third is pulled forward a year; a schedule reshuffle, not a direction
SB1859	S	1544672	2025-04-10	40	15	Third Reading in Senate	screened:superseded-roll — SB 1859 — the Senate later voted the enacted House version (roll 1582707); that concurrence is the imported roll
SB1859	H	1576920	2025-05-23	71	38	Third Reading in House	judged:batch-06
SB1859	S	1582707	2025-05-31	40	16	Concurrence in Senate	judged:batch-06
SB2456	H	1582216	2025-05-30	83	31	Third Reading in House	screened:contested-direction — energy efficiency extension bundled with a FOIA exemption for expressway camera images
SB2456	S	1582885	2025-05-31	38	19	Concurrence in Senate	screened:contested-direction — energy efficiency extension bundled with a FOIA exemption for expressway camera images
SB1797	S	1544218	2025-04-10	39	17	Third Reading in Senate	screened:superseded-roll — SB 1797 — the Senate later voted the enacted House version (roll 1582866); that concurrence is the imported roll
SB1797	H	1582079	2025-05-30	76	38	Third Reading in House	judged:batch-06
SB1797	S	1582866	2025-05-31	41	15	Concurrence in Senate	judged:batch-06
HB5234	H	1718930	2026-04-09	67	31	House Third Reading	screened:no-defensible-stance — takes effect only if HB 3564 becomes law; HB 3564 itself was dropped in batch-01
HB5234	S	1718931	2026-05-30	41	15	Senate Third Reading	screened:no-defensible-stance — takes effect only if HB 3564 becomes law; HB 3564 itself was dropped in batch-01
HB4758	H	1719422	2026-04-16	82	30	House Third Reading	judged:batch-02
HB4758	S	1719423	2026-05-29	41	15	Senate Third Reading	judged:batch-02
HB1700	H	1542571	2025-04-09	84	30	Third Reading in House	dropped:filter-5 — the enacted bill carries two subjects of comparable weight: bank Community Reinvestment Act ratings for state deposits, and Commerce Commission siting authority over energy facilities
HB1700	S	1720626	2026-05-30	36	20	Senate Third Reading	dropped:filter-5 — the enacted bill carries two subjects of comparable weight: bank Community Reinvestment Act ratings for state deposits, and Commerce Commission siting authority over energy facilities
HB1700	H	1720627	2026-05-31	75	39	House Concurrence	dropped:filter-5 — the enacted bill carries two subjects of comparable weight: bank Community Reinvestment Act ratings for state deposits, and Commerce Commission siting authority over energy facilities
HB3078	H	1545871	2025-04-11	76	39	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB3078	S	1582541	2025-05-31	42	15	Third Reading in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB1437	H	1544990	2025-04-10	74	38	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB1437	H	1720222	2025-10-30	74	26	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB1437	S	1720223	2025-10-30	41	16	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB1437	H	1720224	2025-10-31	74	26	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB2397	H	1538332	2025-04-07	78	27	Third Reading in House	judged:batch-04
HB2397	S	1576072	2025-05-22	33	19	Third Reading in Senate	judged:batch-04
HB1189	H	1540145	2025-04-08	82	28	Third Reading in House	judged:batch-02
HB1189	S	1575256	2025-05-21	40	18	Third Reading in Senate	judged:batch-02
SB1740	H	1576842	2025-05-23	79	29	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB1740	S	1582703	2025-05-31	41	14	Concurrence in Senate	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB4217	H	1720544	2026-04-14	82	28	House Third Reading	judged:batch-07
HB4217	S	1720545	2026-05-20	43	15	Senate Third Reading	judged:batch-07
SB3777	S	1721226	2026-05-20	38	20	Senate Third Reading	judged:batch-01
SB3777	H	1721227	2026-05-31	72	38	House Third Reading	judged:batch-01
SB3777	S	1721228	2026-05-31	41	14	Senate Concurrence	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB0714	S	1720248	2026-05-13	42	14	Senate Third Reading	judged:batch-08
SB0714	H	1720249	2026-05-27	70	38	House Third Reading	judged:batch-08
HB4862	H	1720568	2026-04-16	81	27	House Third Reading	judged:batch-05
HB4862	S	1720569	2026-05-20	43	15	Senate Third Reading	judged:batch-05
HB1365	S	1575014	2025-05-21	39	16	Third Reading in Senate	screened:no-defensible-stance — therapist and counsellor licensure mechanics
HB1365	H	1582046	2025-05-30	85	28	Concurrence in House	screened:no-defensible-stance — therapist and counsellor licensure mechanics
HB1367	H	1539808	2025-04-08	75	39	Third Reading in House	screened:contested-direction — cuts the township open-space acreage threshold — conservation access vs. development latitude
HB1367	S	1575171	2025-05-21	43	14	Third Reading in Senate	screened:contested-direction — cuts the township open-space acreage threshold — conservation access vs. development latitude
HB4273	H	1717613	2026-04-14	73	37	House Third Reading	screened:superseded-roll — HB 4273 — the House later voted the enacted Senate version (roll 1717615); that concurrence is the imported roll
HB4273	S	1717614	2026-05-13	43	14	Senate Third Reading	judged:batch-08
HB4273	H	1717615	2026-05-27	72	38	House Concurrence	judged:batch-08
HB5552	H	1719956	2026-04-09	71	34	House Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB5552	S	1719957	2026-05-20	43	14	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB5552	H	1719958	2026-05-27	74	37	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB0191	S	1562725	2025-04-30	39	13	Third Reading in Senate	judged:batch-02
SB0191	H	1574908	2025-05-21	83	27	Third Reading in House	judged:batch-02
HB1836	S	1720142	2025-10-29	39	17	Senate Third Reading	judged:batch-02
HB1836	H	1720143	2025-10-30	80	26	House Concurrence	judged:batch-02
HB4571	H	1717392	2026-04-14	76	33	House Third Reading	judged:batch-02
HB4571	S	1717393	2026-05-31	44	14	Senate Third Reading	judged:batch-02
SB2980	S	1723794	2026-04-15	42	13	Senate Third Reading	dropped:filter-3 — the act only moves the due dates of Climate Displacement Task Force reports
SB2980	H	1723795	2026-05-21	73	34	House Third Reading	dropped:filter-3 — the act only moves the due dates of Climate Displacement Task Force reports
HB5228	H	1716845	2026-04-17	76	24	House Third Reading	dropped:filter-3 — the enacted text adds a surcharge on insurers for the Workers’ Compensation Commission Operations Fund
HB5228	S	1716846	2026-05-30	39	19	Senate Third Reading	dropped:filter-3 — the enacted text adds a surcharge on insurers for the Workers’ Compensation Commission Operations Fund
HB5228	H	1716847	2026-05-31	89	27	House Concurrence	dropped:filter-3 — the enacted text adds a surcharge on insurers for the Workers’ Compensation Commission Operations Fund
HB4788	H	1722358	2026-04-14	73	38	House Third Reading	judged:batch-05
HB4788	S	1722359	2026-05-20	43	13	Senate Third Reading	judged:batch-05
