measure	chamber	roll	date	question	yea	nay	earlier_rolls	bill_type	status	title	description	disposition	reason
HB1979	house	1693076	2026-05-04	fourth reading	65	26	1663376	B	4	Children; Early Childhood Task Force; membership; election; reports; compensation or reimbursement; expenses; Open Records Act; Open Meeting Act; advice; vision statement; mission; principles; codification; effective date.	Children; Early Childhood Task Force; membership; election; reports; compensation or reimbursement; expenses; Open Records Act; Open Meeting Act; advice; vision statement; mission; principles; codification; effective date.		
HB2013	house	1607233	2025-05-15	fourth reading	60	22	1607230	B	4	Sudden unexpected death in epilepsy (SUDEP); Dylan's Law; Service Oklahoma; driver license; unique symbol; voluntary; State Commissioner of Health; power and duty; Division of Health Care Information; autopsy; findings; records; determination; effective date.	Sudden unexpected death in epilepsy (SUDEP); Dylan's Law; Service Oklahoma; driver license; unique symbol; voluntary; State Commissioner of Health; power and duty; Division of Health Care Information; autopsy; findings; records; determination; effective date.		
HB2036	house	1607105	2025-05-14	fourth reading	66	17	1607102	B	4	Condemnation proceedings; establishing requirements for reimbursement of certain expenses; effective date.	Condemnation proceedings; establishing requirements for reimbursement of certain expenses; effective date.		
HB2072	house	1604661	2025-03-25	third reading	60	26		B	4	Banks and trust companies; repeal; Task Force for the Study of State Banking Services; effective date.	Banks and trust companies; repeal; Task Force for the Study of State Banking Services; effective date.		
HB2110	house	1604780	2025-05-15	fourth reading	58	27	1604776	B	4	Revenue and taxation; Bringing Sitcoms Home from Hollywood Pilot Program Act; short title; definitions; incentives; procedures; revolving fund; effective date.	Revenue and taxation; Bringing Sitcoms Home from Hollywood Pilot Program Act; short title; definitions; incentives; procedures; revolving fund; effective date.		
HB2147	house	1608040	2025-05-29	veto override without emergency	70	18	1608035;1608038	B	4	Cities and towns; Municipal Code Lien Enforcement Act of 2025; lien; violations; housing; building code; foreclosure; real property; effective date.	Cities and towns; Municipal Code Lien Enforcement Act of 2025; lien; violations; housing; building code; foreclosure; real property; effective date.		
HB2263	house	1605826	2025-05-29	veto override without emergency	68	21	1605822	B	4	Motor vehicles; making certain use of cellular telephones and electronic devices unlawful on certain stretches of road; penalty; municipal ordinances; effective date.	Motor vehicles; making certain use of cellular telephones and electronic devices unlawful on certain stretches of road; penalty; municipal ordinances; effective date.		
HB2268	house	1693889	2026-05-05	fourth reading	68	21	1606175	B	4	Oklahoma Health Care Authority; making an appropriation; effective date; emergency.	Oklahoma Health Care Authority; making an appropriation; effective date; emergency.		
HB2398	house	1658361	2026-03-10	third reading	70	20		B	4	Education; authorizing the State Regents for Higher Education and the Department of Career and Technology Education to designate a credential of value.	Education; authorizing the State Regents for Higher Education and the Department of Career and Technology Education to designate a credential of value.		
HB2764	house	1606363	2025-05-20	third reading	74	19		B	4	Revenue and taxation; duties of the State Board of Equalization; certification of revenue amounts; income tax rate reduction; effective date.	Revenue and taxation; duties of the State Board of Equalization; certification of revenue amounts; income tax rate reduction; effective date.		
HB2765	house	1606310	2025-05-20	third reading	55	32		B	4	State investing; Invest in Oklahoma Program; reassigning program; investments; rules renaming Cash Management and Investment Oversight Commission the Invest in Oklahoma Board; effective date.	State investing; Invest in Oklahoma Program; reassigning program; investments; rules renaming Cash Management and Investment Oversight Commission the Invest in Oklahoma Board; effective date.		
HB2766	house	1605244	2025-05-20	third reading	73	20		B	4	General appropriations; various agencies, authorities, boards, bureaus, commission, funds and programs; effective date.	General appropriations; various agencies, authorities, boards, bureaus, commission, funds and programs; effective date.		
HB2768	house	1607387	2025-05-20	third reading	58	30		B	4	Revenue and taxation; Oklahoma Quality Jobs Incentive Leverage Act; increasing certain limitation caps related to qualifying investment amounts.	Revenue and taxation; Oklahoma Quality Jobs Incentive Leverage Act; increasing certain limitation caps related to qualifying investment amounts.		
HB2776	house	1606237	2025-05-20	third reading	65	20		B	4	Capitol Improvement Authority; utilization of Legacy Capital Fund authorizations by the Office of Management and Enterprise Services; increasing certain amount.	Capitol Improvement Authority; utilization of Legacy Capital Fund authorizations by the Office of Management and Enterprise Services; increasing certain amount.		
HB2781	house	1604483	2025-05-20	third reading	56	34		B	4	Economic development; creating the Reindustrialize Oklahoma Act of 2025; investment rebate program; creating the ROA-25 Revolving Fund and the ROA-25 Beneficiary Revolving Fund.	Economic development; creating the Reindustrialize Oklahoma Act of 2025; investment rebate program; creating the ROA-25 Revolving Fund and the ROA-25 Beneficiary Revolving Fund.		
HB2783	house	1607151	2025-05-20	third reading	60	30		B	4	Tobacco Settlement Endowment Trust; Board of Directors; providing appointees serve at the pleasure of their appointing authority.	Tobacco Settlement Endowment Trust; Board of Directors; providing appointees serve at the pleasure of their appointing authority.		
HB2787	house	1638867	2026-02-19	third reading	70	19		B	4	State Department of Health; making an appropriation; source; purpose; emergency.	State Department of Health; making an appropriation; source; purpose; emergency.		
HB2790	house	1607464	2025-05-20	third reading	68	18		B	4	Office of Juvenile Affairs; making an appropriation; accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee; effective date; emergency.	Office of Juvenile Affairs; making an appropriation; accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee; effective date; emergency.		
HB2791	house	1604967	2025-05-20	third reading	61	26		B	4	Department of Human Services; making appropriations; source; amounts; creating certain special accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee.	Department of Human Services; making appropriations; source; amounts; creating certain special accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee.		
HB2794	house	1604430	2025-05-20	third reading	61	30		B	4	Department of Commerce; making appropriations; sources; amounts; purposes.	Department of Commerce; making appropriations; sources; amounts; purposes.		
HB2894	house	1694494	2026-05-06	fourth reading	59	33	1607142	B	4	Oklahoma Rural Jobs Act; cap on capital investment tax credits; authorizing and limiting additional participation in program under certain conditions.	Oklahoma Rural Jobs Act; cap on capital investment tax credits; authorizing and limiting additional participation in program under certain conditions.		
HB3005	house	1662865	2026-03-12	third reading	62	22		B	4	State government; Oklahoma Climatological Survey; sunset; effective date; emergency.	State government; Oklahoma Climatological Survey; sunset; effective date; emergency.		
HB3127	house	1662879	2026-03-12	third reading	47	46		B	4	Medical marijuana; policy for applicants and employees; exceptions; effective date.	Medical marijuana; policy for applicants and employees; exceptions; effective date.		
HB3151	house	1661140	2026-03-11	third reading	62	28		B	4	Schools; length of school year; increasing minimum days of instruction; requiring parent-teacher conferences to have an in-person option; contingent effective date.	Schools; length of school year; increasing minimum days of instruction; requiring parent-teacher conferences to have an in-person option; contingent effective date.		
HB3372	house	1662872	2026-03-12	third reading	53	36		B	4	Charter schools; Revolving Loan Fund Program for Charter School Capital Expenditures; Statewide Charter School Board issuing low-interest loans to charter schools through a revolving fund; Charter School Loan Revolving Fund; appropriation; Charter School Bond Credit Enhancement Program; allowing charter schools to issue bonds; Charter School Bond Credit Enhancement Fund; interest allocation; default; special obligations; effective date.	Charter schools; Revolving Loan Fund Program for Charter School Capital Expenditures; Statewide Charter School Board issuing low-interest loans to charter schools through a revolving fund; Charter School Loan Revolving Fund; appropriation; Charter School Bond Credit Enhancement Program; allowing charter schools to issue bonds; Charter School Bond Credit Enhancement Fund; interest allocation; default; special obligations; effective date.		
HB3462	house	1694771	2026-05-06	fourth reading	70	21	1670543	B	4	Professions and occupations; plumbing licenses; definitions; examinations; qualifications; effective date.	Professions and occupations; plumbing licenses; definitions; examinations; qualifications; effective date.		
HB3501	house	1670464	2026-03-25	third reading	71	24		B	4	Alcoholic beverages; ABLE Commission; multiple licenses; manufacturing beverages; alternating proprietorship or premises; effective date.	Alcoholic beverages; ABLE Commission; multiple licenses; manufacturing beverages; alternating proprietorship or premises; effective date.		
HB3521	house	1694844	2026-05-06	fourth reading	65	23	1669895	B	4	Financial institutions; Oklahoma Money Transmission Modernization Act; Banking Commissioner; Oklahoma State Banking Board; licenses; felony; repealer; effective date.	Financial institutions; Oklahoma Money Transmission Modernization Act; Banking Commissioner; Oklahoma State Banking Board; licenses; felony; repealer; effective date.		
HB3590	house	1669293	2026-03-24	third reading	71	19		B	4	Revenue and taxation; Oklahoma Equal Opportunity Education Scholarship Act; eligibility; removing federal law reference; authorizing payment be made via secure electronic funds transfer; effective date.	Revenue and taxation; Oklahoma Equal Opportunity Education Scholarship Act; eligibility; removing federal law reference; authorizing payment be made via secure electronic funds transfer; effective date.		
HB3644	house	1693845	2026-05-05	fourth reading	68	21	1653064	B	4	Venous thromboembolism; creating the Blake Burgess Act; requiring certain hospital policies and training; establishing certain registry and reporting requirements; imposing certain requirements on assisted living centers; effective date; emergency.	Venous thromboembolism; creating the Blake Burgess Act; requiring certain hospital policies and training; establishing certain registry and reporting requirements; imposing certain requirements on assisted living centers; effective date; emergency.		
HB3704	house	1667599	2026-03-23	third reading	73	20		B	4	Revenue and taxation; income tax; federal income tax credit; election to participate; scholarship granting organizations; Oklahoma Tax Commission; effective date.	Revenue and taxation; income tax; federal income tax credit; election to participate; scholarship granting organizations; Oklahoma Tax Commission; effective date.		
HB3705	house	1679854	2026-04-09	third reading	70	19		B	4	Schools; Parental Choice Tax Credit Program; increasing the amount of credits authorized.	Schools; Parental Choice Tax Credit Program; increasing the amount of credits authorized.		
HB3718	house	1694848	2026-05-06	fourth reading	71	19	1660920	B	4	Special education; Lindsey Nicole Henry Scholarships for Students with Disabilities Program; requiring certain meeting in certain time period; evaluations; exceptions; eligibility; calculation of scholarship; effective date.	Special education; Lindsey Nicole Henry Scholarships for Students with Disabilities Program; requiring certain meeting in certain time period; evaluations; exceptions; eligibility; calculation of scholarship; effective date.		
HB3834	house	1694669	2026-05-06	fourth reading	69	21	1660509	B	4	Ibogaine clinical trials; Oklahoma Breakthrough Therapy Act; terms; requirements for drug developers; contractual terms; intellectual property rights; reports; intellectual property account; effective date.	Ibogaine clinical trials; Oklahoma Breakthrough Therapy Act; terms; requirements for drug developers; contractual terms; intellectual property rights; reports; intellectual property account; effective date.		
HB3880	house	1694987	2026-05-06	fourth reading	60	29	1662863	B	4	Tourism; commissions from tourism magazine and digital prints; additional employee compensation; effective date.	Tourism; commissions from tourism magazine and digital prints; additional employee compensation; effective date.		
HB4028	house	1686836	2026-04-21	third reading	54	27		B	4	Revenue and taxation; certain income tax deduction; taxable years for which deductible allowable; effective date.	Revenue and taxation; certain income tax deduction; taxable years for which deductible allowable; effective date.		
HB4036	house	1682430	2026-04-14	third reading	53	42		B	4	Bringing Sitcoms Home from Hollywood Pilot Program Revolving Fund; making an appropriation; source; purpose; noncodification.	Bringing Sitcoms Home from Hollywood Pilot Program Revolving Fund; making an appropriation; source; purpose; noncodification.		
HB4053	house	1682490	2026-04-14	third reading	58	32		B	4	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilization; University of Oklahoma; recapitalization payments; distributions; limiting conditions; codification.	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilization; University of Oklahoma; recapitalization payments; distributions; limiting conditions; codification.		
HB4054	house	1682137	2026-04-14	third reading	66	27		B	4	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilization; Oklahoma State University; recapitalization payments; distributions; limiting conditions; codification.	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilization; Oklahoma State University; recapitalization payments; distributions; limiting conditions; codification.		
HB4071	house	1681732	2026-04-14	third reading	61	30		B	4	Investment accounts; creating the Oklahoma Dream Accounts Investment Program Act; creating the Oklahoma Dream Account Investment Program; contributions.	Investment accounts; creating the Oklahoma Dream Accounts Investment Program Act; creating the Oklahoma Dream Account Investment Program; contributions.		
HB4072	house	1682511	2026-04-14	third reading	68	25		B	4	Public Finance; creating the Taxpayer Endowment Trust Fund Act; creating the Taxpayer Endowment Trust Fund; effective date; emergency.	Public Finance; creating the Taxpayer Endowment Trust Fund Act; creating the Taxpayer Endowment Trust Fund; effective date; emergency.		
HB4191	house	1694939	2026-05-06	fourth reading	58	21	1660788	B	4	Revenue and taxation; Small Employer Quality Jobs Act; definitions; eligibility criteria; effective date.	Revenue and taxation; Small Employer Quality Jobs Act; definitions; eligibility criteria; effective date.		
HB4322	house	1664564	2026-03-17	third reading	61	17		B	4	Professions and occupations; funeral director in charge; definitions; license requirements; effective date.	Professions and occupations; funeral director in charge; definitions; license requirements; effective date.		
HB4324	house	1695101	2026-05-06	veto override without emergency	69	18	1668559	B	5	Criminal procedure; authorizing district attorneys to adjust sentences; effective date.	Criminal procedure; authorizing district attorneys to adjust sentences; effective date.		
HB4408	house	1668998	2026-03-24	third reading	67	30		B	4	State question 780 data; calculation of savings and averted costs from implementation of the Oklahoma Smart Justice Reform Act; Department of Corrections; Legislative Office of Fiscal Transparency; Administrator of the Courts; effective date.	State question 780 data; calculation of savings and averted costs from implementation of the Oklahoma Smart Justice Reform Act; Department of Corrections; Legislative Office of Fiscal Transparency; Administrator of the Courts; effective date.		
HB4426	house	1642214	2026-02-24	third reading	76	20		B	4	Revenue and taxation; income tax; income tax credit for qualified economic development expenditures; effective date.	Revenue and taxation; income tax; income tax credit for qualified economic development expenditures; effective date.		
SB1027	house	1606294	2025-05-07	third reading	69	23		B	4	Initiative and referendum; establishing requirements for gist of proposition; establishing requirements for collection of signatures; requiring certain disclosures. Emergency.	Initiative and referendum; establishing requirements for gist of proposition; establishing requirements for collection of signatures; requiring certain disclosures. Emergency.		
SB1032	house	1608581	2025-05-07	third reading	60	28		B	4	Alcoholic beverages; licensed establishments; employees; affirmative defense; violations; authorizing ABLE Commission to present evidence. Effective date.	Alcoholic beverages; licensed establishments; employees; affirmative defense; violations; authorizing ABLE Commission to present evidence. Effective date.		
SB1039	house	1604625	2025-05-28	fourth reading	68	22	1604623	B	4	Medical marijuana license; modifying grounds for certain denials; notice; fees. Effective date.	Medical marijuana license; modifying grounds for certain denials; notice; fees. Effective date.		
SB105	house	1608304	2025-04-29	third reading	70	23		B	4	Lindsey Nicole Henry Scholarships for Students with Disabilities Program; removing prior public school enrollment requirement; modifying eligibility requirements. Effective date. Emergency.	Lindsey Nicole Henry Scholarships for Students with Disabilities Program; removing prior public school enrollment requirement; modifying eligibility requirements. Effective date. Emergency.		
SB109	house	1605411	2025-05-22	fourth reading	68	20	1605409	B	4	Health insurance; requiring coverage of certain genetic testing and cancer imaging; providing exclusions. Effective date.	Health insurance; requiring coverage of certain genetic testing and cancer imaging; providing exclusions. Effective date.		
SB111	house	1604963	2025-04-30	third reading	52	27		B	4	Contractors; decreasing number of sewage disposal system installations for certain certification. Effective date.	Contractors; decreasing number of sewage disposal system installations for certain certification. Effective date.		
SB1122	house	1686251	2026-04-21	third reading	56	38		B	4	Ad valorem tax; requiring the State Board of Equalization to assess certain broadband property.at certain radio Effective date.	Ad valorem tax; requiring the State Board of Equalization to assess certain broadband property.at certain radio Effective date.		
SB1129	house	1605869	2025-05-22	third reading	62	30		B	4	Office of Educational Quality and Accountability; requiring certain funds be utilized for certain purpose; providing for distribution of grants. Effective date. Emergency.	Office of Educational Quality and Accountability; requiring certain funds be utilized for certain purpose; providing for distribution of grants. Effective date. Emergency.		
SB1133	house	1690115	2026-04-27	third reading	68	24		B	4	Department of Mental Health and Substance Abuse Services; making an appropriation; stating purpose. Effective date. Emergency.	Department of Mental Health and Substance Abuse Services; making an appropriation; stating purpose. Effective date. Emergency.		
SB1142	house	1690103	2026-04-27	third reading	68	21		B	4	Department of Human Services; making an appropriation; stating purpose. Effective date. Emergency.	Department of Human Services; making an appropriation; stating purpose. Effective date. Emergency.		
SB1162	house	1684236	2026-04-16	third reading	68	17		B	4	State Department of Health; making an appropriation; stating purpose of certain disbursement. Effective date. Emergency.	State Department of Health; making an appropriation; stating purpose of certain disbursement. Effective date. Emergency.		
SB1178	house	1608104	2025-05-22	third reading	70	19		B	4	Department of Mental Health and Substance Abuse Services; making an appropriation; identifying sources of funds. Emergency.	Department of Mental Health and Substance Abuse Services; making an appropriation; identifying sources of funds. Emergency.		
SB1181	house	1607280	2025-05-22	third reading	65	23		B	4	Office of Management and Enterprise Services; making an appropriation; identifying source of funds.	Office of Management and Enterprise Services; making an appropriation; identifying source of funds.		
SB1217	house	1693105	2026-05-04	third reading	68	17		B	4	Real estate brokers; prohibiting requirement to enter into certain agreements. Effective date.	Real estate brokers; prohibiting requirement to enter into certain agreements. Effective date.		
SB1255	house	1691181	2026-04-28	third reading	73	19		B	4	Pardons and paroles; requiring medical director of the Department of Corrections to make certain request. Effective date.	Pardons and paroles; requiring medical director of the Department of Corrections to make certain request. Effective date.		
SB1327	house	1691142	2026-04-28	third reading	57	32		B	4	Oklahoma Tourism and Recreation Commission; transferring certain duties to the Commission; authorizing the Commission to appoint Executive Director. Effective date.	Oklahoma Tourism and Recreation Commission; transferring certain duties to the Commission; authorizing the Commission to appoint Executive Director. Effective date.		
SB1344	house	1691501	2026-04-29	third reading	68	22		B	4	Prescription drugs; creating the Insulin Access and Affordability Program; requiring certain financial support and agreement. Effective date. Emergency.	Prescription drugs; creating the Insulin Access and Affordability Program; requiring certain financial support and agreement. Effective date. Emergency.		
SB1365	house	1690560	2026-04-28	third reading	43	42		B	4	Central Purchasing Act; exempting certain purchases made by the Oklahoma Tourism and Recreation Department.	Central Purchasing Act; exempting certain purchases made by the Oklahoma Tourism and Recreation Department.		
SB137	house	1690364	2026-04-28	third reading	72	18		B	4	Department of Corrections; modifying elements of the Electronic Monitoring Program. Effective date.	Department of Corrections; modifying elements of the Electronic Monitoring Program. Effective date.		
SB139	house	1606947	2025-04-29	third reading	51	39		B	4	Schools; requiring school district boards of education to adopt certain cell phone policy.	Schools; requiring school district boards of education to adopt certain cell phone policy.		
SB1443	house	1693704	2026-05-05	third reading	68	17		B	4	Health benefit plans; requiring certain health benefit plans to consider certain factors when determining payments for services. Effective date.	Health benefit plans; requiring certain health benefit plans to consider certain factors when determining payments for services. Effective date.		
SB1509	house	1692994	2026-05-04	third reading	61	28		B	4	Groundwater use; modifying provisions related to spacing of wells. Effective date.	Groundwater use; modifying provisions related to spacing of wells. Effective date.		
SB1525	house	1691114	2026-04-28	third reading	58	28		B	4	Tourism; allowing the Oklahoma Tourism and Recreation Department to enter into certain contracts and agreements; establishing certain conditions for contracts and agreements. Emergency.	Tourism; allowing the Oklahoma Tourism and Recreation Department to enter into certain contracts and agreements; establishing certain conditions for contracts and agreements. Emergency.		
SB1530	house	1680764	2026-04-13	third reading	58	27		B	4	State government; Oklahoma Research and Development Rebate Fund; authorizing increase in certain rebate amount under specified condition; imposing certain duties on the Oklahoma Department of Commerce. Effective date.	State government; Oklahoma Research and Development Rebate Fund; authorizing increase in certain rebate amount under specified condition; imposing certain duties on the Oklahoma Department of Commerce. Effective date.		
SB1589	house	1698224	2026-05-14	veto override without emergency	68	19	1693003	B	4	Crimes and punishments; modifying scope of certain offense related to gambling. Effective date.	Crimes and punishments; modifying scope of certain offense related to gambling. Effective date.		
SB1618	house	1693121	2026-05-04	third reading	62	23		B	4	Criminal procedure; creating the Public Protection Act; conditions of release; public safety reports. Effective date.	Criminal procedure; creating the Public Protection Act; conditions of release; public safety reports. Effective date.		
SB1732	house	1695140	2026-05-06	third reading	52	35		B	4	Professional licensing fees; establishing license fees. Effective date.	Professional licensing fees; establishing license fees. Effective date.		
SB176	house	1608572	2025-05-22	fourth reading	65	25	1608570	B	4	Health benefit plans; requiring coverage for certain prescription. Effective date.	Health benefit plans; requiring coverage for certain prescription. Effective date.		
SB1826	house	1691732	2026-04-29	third reading	55	30		B	4	Oklahoma Local Development and Enterprise Zone Incentive Leverage Act; omitting sunset date. Effective date.	Oklahoma Local Development and Enterprise Zone Incentive Leverage Act; omitting sunset date. Effective date.		
SB1827	house	1695151	2026-05-06	third reading	71	19		B	4	Governmental Tort Claims Act; modifying definitions. Effective date.	Governmental Tort Claims Act; modifying definitions. Effective date.		
SB1833	house	1691377	2026-04-29	third reading	62	17		B	4	Supplemental Nutrition Assistance Program; directing the Department of Human Services to seek certain federal waiver. Effective date.	Supplemental Nutrition Assistance Program; directing the Department of Human Services to seek certain federal waiver. Effective date.		
SB1916	house	1694718	2026-05-06	third reading	52	33		B	4	Insurance Department; creating certain division within the Insurance Department; establishing powers for certain conservator; allowing contacts. Effective date.	Insurance Department; creating certain division within the Insurance Department; establishing powers for certain conservator; allowing contacts. Effective date.		
SB1946	house	1695016	2026-05-06	third reading	52	34		B	4	Alcoholic beverages; decreasing alcohol license fee; allowing sale of certain sample spirits at certain events; removing certain production limits for distilleries. Effective date.	Alcoholic beverages; decreasing alcohol license fee; allowing sale of certain sample spirits at certain events; removing certain production limits for distilleries. Effective date.		
SB1992	house	1681099	2026-04-13	third reading	65	24		B	4	"Income tax credit; defining ""strategic finance partner."" Effective date."	"Income tax credit; defining ""strategic finance partner."" Effective date."		
SB2060	house	1681942	2026-04-14	third reading	54	40		B	4	Improvement districts; master development districts; requirements and procedures; bonds. Effective date.	Improvement districts; master development districts; requirements and procedures; bonds. Effective date.		
SB2084	house	1695078	2026-05-06	third reading	70	21		B	4	Governmental Tort Claims Act; limiting settlement awards for wrongful termination claims; providing for inclusion of certain damages. Effective date.	Governmental Tort Claims Act; limiting settlement awards for wrongful termination claims; providing for inclusion of certain damages. Effective date.		
SB209	house	1604650	2025-05-22	fourth reading	51	30	1604648	B	4	Economic development; creating the Taiwan Regional Trade Office; stating duties and responsibilities.	Economic development; creating the Taiwan Regional Trade Office; stating duties and responsibilities.		
SB2095	house	1693938	2026-05-05	third reading	68	20		B	4	Game and fish; prohibiting taking of game for compensation without certain licenses. Effective date.	Game and fish; prohibiting taking of game for compensation without certain licenses. Effective date.		
SB212	house	1605886	2025-05-22	fourth reading	51	29	1605884	B	4	Teacher preparation; directing the Commission for Educational Quality and Accountability to establish TeachForwardOK.	Teacher preparation; directing the Commission for Educational Quality and Accountability to establish TeachForwardOK.		
SB2134	house	1686502	2026-04-21	third reading	71	20		B	4	Agriculture; providing for the State Board of Agriculture to promulgate rules; requiring wreckers to take certain action in certain circumstance. Effective date.	Agriculture; providing for the State Board of Agriculture to promulgate rules; requiring wreckers to take certain action in certain circumstance. Effective date.		
SB249	house	1605468	2025-04-29	third reading	59	26		B	4	Oklahoma Tourism Development Act; increasing cumulative inducement per year. Effective date.	Oklahoma Tourism Development Act; increasing cumulative inducement per year. Effective date.		
SB250	house	1606105	2025-05-05	third reading	74	19		B	4	Oklahoma Minimum Wage Act; allowing for alternative computation for wage under certain circumstances. Effective date.	Oklahoma Minimum Wage Act; allowing for alternative computation for wage under certain circumstances. Effective date.		
SB287	house	1607954	2025-05-22	fourth reading	60	17	1607952	B	4	Income tax; modifying tax years for aerospace tax credit. Effective date.	Income tax; modifying tax years for aerospace tax credit. Effective date.		
SB364	house	1606574	2025-04-30	third reading	63	25		B	4	Schools; prohibiting use of corporal punishment on any student identified with a disability.	Schools; prohibiting use of corporal punishment on any student identified with a disability.		
SB44	house	1692877	2026-05-04	third reading	62	26		B	4	Sales tax; extending sales tax exemption to contractors in connection to performance of a contract with a tax exempt entity. Effective date.	Sales tax; extending sales tax exemption to contractors in connection to performance of a contract with a tax exempt entity. Effective date.		
SB453	house	1608078	2025-05-22	fourth reading	61	19	1608076	B	4	Civil actions; creating the Oklahoma Expedited Actions Act; providing for application of expedited actions process. Effective date.	Civil actions; creating the Oklahoma Expedited Actions Act; providing for application of expedited actions process. Effective date.		
SB460	house	1604843	2025-04-23	third reading	70	19		B	4	Natural gas; modifying natural gas energy standard. Effective date. Emergency.	Natural gas; modifying natural gas energy standard. Effective date. Emergency.		
SB490	house	1604518	2025-04-28	third reading	69	19		B	4	Student Athlete Name, Image, and Likeness Rights Act; modifying terms and requirements for certain agreements between student athletes and postsecondary institutions or authorized third parties. Emergency.	Student Athlete Name, Image, and Likeness Rights Act; modifying terms and requirements for certain agreements between student athletes and postsecondary institutions or authorized third parties. Emergency.		
SB504	house	1695006	2026-05-06	third reading	51	36		B	4	Marriage; imposing age restriction on eligibility to marry; removing exceptions. Effective date.	Marriage; imposing age restriction on eligibility to marry; removing exceptions. Effective date.		
SB575	house	1608760	2025-05-06	third reading	66	24		B	4	Oklahoma Local Development and Enterprise Zone Leverage Act; prescribing reporting requirements. Effective date.	Oklahoma Local Development and Enterprise Zone Leverage Act; prescribing reporting requirements. Effective date.		
SB578	house	1604701	2025-04-28	third reading	56	34		B	4	Oklahoma Quality Events Incentive Act; extending date of effectiveness of act.	Oklahoma Quality Events Incentive Act; extending date of effectiveness of act.		
SB586	house	1606487	2025-04-30	third reading	51	40		B	4	Oklahoma Quality Jobs Program Act; modifying definition to establish certain relationship between employer and leased or contracted employee. Effective date.	Oklahoma Quality Jobs Program Act; modifying definition to establish certain relationship between employer and leased or contracted employee. Effective date.		
SB59	house	1605780	2025-05-22	fourth reading	51	34	1605778	B	4	Sales tax; providing exemption for certain organization providing clothing or supplies to certain students. Effective date.	Sales tax; providing exemption for certain organization providing clothing or supplies to certain students. Effective date.		
SB631	house	1605860	2025-05-29	veto override without emergency	68	17	1605858	B	4	Crimes and punishments; expanding scope of acts that require service of minimum percentage of sentence. Effective date.	Crimes and punishments; expanding scope of acts that require service of minimum percentage of sentence. Effective date.		
