bill	disposition	reason	house_roll	senate_roll	title
HB2957	batch-03	Senate only; the House concurrence roll is held, LegiScan puts Boice on the wrong side	1590950	1588995	Relating to time limitations associated with violations over which the Bureau of Labor and Industries has enforcement authority; and declaring an emergency.
HB2964	batch-05	judged and imported	1548773		Relating to affordable housing; and declaring an emergency.
HB2982	drop:screened	raises boat fees for an invasive species fund; fee bill		1589622	Relating to small watercraft.
HB3003	drop:filter-5	adds data to a child welfare report and disaggregates it by race; reporting only	1526808		Relating to Department of Human Services annual child welfare reporting.
HB3020	drop:filter-5	bans wagering on dog racing; no research area covers animal welfare		1560046	Relating to racing.
HB3024	batch-07	judged and imported	1504353	1589550	Relating to the reduction of unemployment benefits due to disqualification; and prescribing an effective date.
HB3025	candidate		1531186	1589489	Relating to the Oregon Opportunity Grant program.
HB3026	drop:filter-5	higher education grab-bag: meetings, procurement, a scholarship program and three studies	1552497	1589658	Relating to the Higher Education Coordinating Commission; and declaring an emergency.
HB3027	drop:screened	lets HECC seek a court order against career schools; enforcement plumbing		1578791	Relating to injunctions regarding career school regulatory violations.
HB3028	drop:screened	lets HECC set application review fees by rule; fee bill	1508072	1589543	Relating to degree authorization by the Higher Education Coordinating Commission.
HB3034	drop:filter-5	moves Emergency Housing Account policy from a council to a department; governance	1495428	1562411	Relating to the Emergency Housing Account.
HB3038	drop:screened	House roll superseded by a 33-7 concurrence; omnibus education changes	1544029		Relating to education; and declaring an emergency.
HB3041	drop:screened	changes the type of law providing for an educator council; structural	1499116	1560495	Relating to the Educator Advancement Council; and prescribing an effective date.
HB3045	drop:screened	lets the pharmacy board require an examination of a licensee under investigation; narrow	1518993	1591076	Relating to the State Board of Pharmacy; and prescribing an effective date.
HB3054	batch-02	judged and imported	1549926	1589837	Relating to residential tenancies for a space in a facility; and declaring an emergency.
HB3069	candidate		1595533	1594228	Relating to public safety; and declaring an emergency.
HB3144	batch-05	judged and imported		1578792	Relating to dwellings.
HB3148	batch-08	judged and imported	1594164		Relating to the availability of residential telecommunication services for low-income customers; and declaring an emergency.
HB3167	drop:filter-5	its only divided House roll is superseded by a 37-3 concurrence and the Senate never divided; attributing the superseded vote is the federal roll-160 retraction shape	1552514		Relating to regulating sales of admission tickets to entertainment events.
HB3179	batch-08	judged and imported		1594492	Relating to public utilities; and declaring an emergency.
HB3187	batch-01	judged and imported	1549674	1570360	Relating to age-based employment discrimination; and prescribing an effective date.
HB3194	drop:filter-5	landowner liability for farmworker camps; farm labour housing enforcement, and no research area covers labour or worker-protection questions, the same gap that dropped HB 2688 and HB 2944	1593104	1595282	Relating to farmworker camps.
HB3233	candidate		1549709	1560449	Relating to rail; and prescribing an effective date.
HB3336	candidate		1590932		Relating to electric transmission systems; and prescribing an effective date.
HB3342	drop:filter-5	water rights application processing, notice and deadlines; administrative	1581100	1579065	Relating to water; and prescribing an effective date.
HB3365	batch-04	judged and imported	1591480	1589737	Relating to climate change instruction in public schools.
HB3372	drop:filter-5	expands exempt well use to commercial gardens while adding a daily cap where none existed; runs both ways	1581167		Relating to exempt uses of water.
HB3378	drop:filter-5	requires a non-app key and working locks; tenant habitability with no supply or cost effect, the Maryland HB 767 precedent	1514355	1570174	Relating to tenant dwelling access to dwelling unit.
HB3409	candidate		1566289	1586792	Relating to health care; and prescribing an effective date.
HB3410	candidate		1594348		Relating to health care; and declaring an emergency.
HB3521	candidate		1551435	1589518	Relating to residential tenancy hold deposits.
HB3525	batch-03	judged and imported	1595907	1595528	Relating to exempt wells that supply ground water for domestic purposes.
HB3544	drop:screened	creates a standard contested-case process for water use; procedural	1596058		Relating to water.
HB3546	batch-03	judged and imported	1585424	1584043	Relating to large energy use facilities; and declaring an emergency.
HB3550	batch-06	judged and imported	1526805		Relating to an exemption for certain minor league baseball players from certain laws governing employment conditions.
HB3630	drop:filter-5	estate tax exemption for farm, forest and fishing interests; family farm preservation against wealth transfer is contested		1595532	Relating to estate tax treatment of natural resource property; and prescribing an effective date.
HB3644	batch-03	judged and imported	1593994	1595480	Relating to a statewide shelter program; and declaring an emergency.
HB3646	batch-08	judged and imported	1552801	1583613	Relating to contract preferences in public procurement for employee-owned businesses; and prescribing an effective date.
HB3681	drop:filter-5	speeds energy facility siting and changes transmission line review; faster clean energy build-out and weaker project review pull opposite ways inside the same area	1555409	1583169	Relating to energy facilities.
HB3687	drop:filter-5	sets a simple majority for county and city charter elections; election_integrity is security and accuracy, not vote thresholds, and the direction is contested	1589147	1595609	Relating to majority vote thresholds for local charters; and prescribing an effective date.
HB3694	drop:filter-5	college athlete name and likeness pay, paired with an exemption from public records disclosure; runs both ways		1591008	Relating to student athletes; and declaring an emergency.
HB3761	drop:screened	art therapist licensing and reimbursement; narrow licensing		1574196	Relating to art therapy; and prescribing an effective date.
HB3768	drop:screened	designates Nowruz Day; ceremonial		1589710	Relating to Nowruz Day; and declaring an emergency.
HB3789	drop:filter-5	bars impersonating a union representative AND bars union representatives misleading members; runs both ways	1583600	1579934	Relating to union misrepresentation.
HB3792	batch-03	judged and imported	1594190	1595500	Relating to consumer protection for utility ratepayers.
HB3794	drop:screened	creates a task force on municipal solid waste; study body only		1595894	Relating to municipal solid waste; and prescribing an effective date.
HB3824	drop:filter-5	physical therapy licensing and scope; narrow	1595878	1595434	Relating to physical therapy; and prescribing an effective date.
HB3825	candidate		1590491		Relating to monetary obligations in criminal cases; and prescribing an effective date.
HB3863	candidate		1547696	1570876	Relating to qualifying facilities under the Public Utility Regulatory Policies Act of 1978; and prescribing an effective date.
HB3865	batch-05	judged and imported	1595617	1595035	Relating to telephone solicitations.
HB3874	drop:filter-5	raises the state siting threshold for wind projects but adds county decommissioning security; runs both ways	1573086		Relating to the jurisdiction of the Energy Facility Siting Council over wind energy facilities.
HB3908	park:direction-call	raises the share of voters a party needs for major party status; election_integrity is security and accuracy and does not cover ballot access, and the California rule sends access questions to civil_rights. Direction arguable either way, so this is a user direction call	1587700	1593325	Relating to party membership registration requirements; and declaring an emergency.
HB3912	batch-08	judged and imported		1591734	"Relating to use of the title ""doctor"""
HB3932	batch-05	judged and imported	1553001	1591248	Relating to protecting beavers.
HB3940	drop:filter-5	wildfire funding through a beverage container surcharge and fund transfers; revenue and appropriation		1595487	Relating to wildfire; prescribing an effective date; and providing for revenue raising that requires approval by a three-fifths majority.
HB3963	drop:screened	extends a DLCD reporting deadline; housekeeping	1585557	1593893	Relating to offshore wind energy development; and prescribing an effective date.
HB5004	excluded:appropriations	budget or fee-ratification bill		1593114	Relating to the financial administration of the Department of Corrections; and declaring an emergency.
HB5008	excluded:appropriations	budget or fee-ratification bill	1583223		Relating to the financial administration of the Employment Relations Board; and declaring an emergency.
HB5010	excluded:appropriations	budget or fee-ratification bill		1593107	Relating to the financial administration of the State Department of Geology and Mineral Industries; and declaring an emergency.
HB5011	excluded:appropriations	budget or fee-ratification bill		1594418	Relating to the financial administration of the Housing and Community Services Department; and declaring an emergency.
HB5015	excluded:appropriations	budget or fee-ratification bill	1594908	1595493	Relating to the financial administration of the Bureau of Labor and Industries; and declaring an emergency.
HB5016	excluded:appropriations	budget or fee-ratification bill	1594217	1595275	Relating to the financial administration of legislative branch agencies; and declaring an emergency.
HB5018	excluded:appropriations	budget or fee-ratification bill	1576130	1588615	Relating to the financial administration of the State Board of Licensed Social Workers; and declaring an emergency.
HB5019	excluded:appropriations	budget or fee-ratification bill	1583209	1589703	Relating to the financial administration of the Oregon Liquor and Cannabis Commission; and declaring an emergency.
HB5021	excluded:appropriations	budget or fee-ratification bill	1576012	1588606	Relating to the financial administration of the State Marine Board; and declaring an emergency.
HB5022	excluded:appropriations	budget or fee-ratification bill	1571072		Relating to the financial administration of the Oregon Medical Board; and declaring an emergency.
HB5023	excluded:appropriations	budget or fee-ratification bill	1583228	1589970	Relating to the financial administration of the Oregon State Board of Nursing; and declaring an emergency.
HB5024	excluded:appropriations	budget or fee-ratification bill		1593103	Relating to the financial administration of the Oregon Business Development Department; and declaring an emergency.
HB5025	excluded:appropriations	budget or fee-ratification bill	1594014	1594481	Relating to the financial administration of the Oregon Health Authority; and declaring an emergency.
HB5028	excluded:appropriations	budget or fee-ratification bill	1576243	1588634	Relating to the financial administration of the State Board of Pharmacy; and declaring an emergency.
HB5029	excluded:appropriations	budget or fee-ratification bill		1591230	Relating to the financial administration of the Department of State Police; and declaring an emergency.
HB5033	excluded:appropriations	budget or fee-ratification bill	1583199	1589952	Relating to state financial administration; and declaring an emergency.
HB5034	excluded:appropriations	budget or fee-ratification bill	1585454		Relating to the financial administration of the Public Utility Commission of Oregon; and declaring an emergency.
HB5035	excluded:appropriations	budget or fee-ratification bill		1591238	Relating to the financial administration of the Oregon Racing Commission; and declaring an emergency.
HB5037	excluded:appropriations	budget or fee-ratification bill	1592677	1593895	Relating to the financial administration of the Teacher Standards and Practices Commission; and declaring an emergency.
HB5042	excluded:appropriations	budget or fee-ratification bill		1591103	Relating to state financial administration; and declaring an emergency.
HB5043	excluded:appropriations	budget or fee-ratification bill		1593896	Relating to state financial administration; and declaring an emergency.
HB5049	excluded:appropriations	budget or fee-ratification bill	1522725	1538260	Relating to state financial administration; and declaring an emergency.
SB51	drop:filter-5	affordable housing technical assistance and training with appropriations; appropriation-led		1594188	Relating to housing; and declaring an emergency.
SB74	drop:filter-5	navigability determinations and land exchanges; state against landowner interests, no honest direction	1573158	1554069	Relating to determinations of navigability on Oregon waterways.
SB91	batch-03	judged and imported	1564954		Relating to firefighting foam.
SB95	drop:screened	adds circuit court judgeships; capacity, no area carries a direction	1595648	1594109	Relating to judicial positions; and declaring an emergency.
SB97	drop:screened	changes funding for family law services; appropriative in substance	1574417	1513111	Relating to funding for services in domestic relations cases; and declaring an emergency.
SB98	drop:screened	assorted changes to court administration; housekeeping		1576329	Relating to court processes; and declaring an emergency.
SB141	candidate		1591106	1585461	Relating to education; and declaring an emergency.
SB143	drop:screened	moves unemployment insurance tax money between UI funds; accounting	1591636		Relating to administration of public funds; and prescribing an effective date.
SB147	drop:filter-5	renames the Elliott State Forest and moves it between boards; land governance, contested	1584932		Relating to the Elliott State Forest.
SB150	batch-07	judged and imported	1584102		Relating to compensation for services performed in connection with a claim for a veteran's benefit; and prescribing an effective date.
SB163	candidate			1595876	Relating to parentage; and prescribing an effective date.
SB243	batch-01	judged and imported	1595256	1595872	Relating to firearms; and prescribing an effective date.
SB295	batch-07	judged and imported	1572193		Relating to pharmacy.
SB426	candidate		1580006	1581241	Relating to wages.
SB430	batch-01	judged and imported	1581255	1583987	Relating to disclosures required in connection with online transactions.
SB476	candidate		1595626	1595884	Relating to professional workforce; and declaring an emergency.
SB537	candidate		1595462	1593990	Relating to violence in health care settings.
SB551	batch-02	judged and imported	1575305	1579005	Relating to plastic waste.
SB558	drop:filter-5	lets marijuana licensees share samples at trade events; narrow industry rule	1573386	1551803	Relating to cannabis market growth; and prescribing an effective date.
SB598	batch-05	judged and imported		1593964	Relating to step therapy for nonopioids.
SB599	batch-01	judged and imported	1573242	1524701	Relating to immigration status discrimination in real estate transactions; and declaring an emergency.
SB605	batch-01	judged and imported	1581306	1586668	Relating to medical debt reporting.
SB610	drop:screened	changes duties around behavioural health resource networks; administrative	1581446	1572112	Relating to funding for substance use services.
SB685	drop:filter-5	notice only when a gas utility blends more than 2.5 percent hydrogen; no duty beyond disclosure	1584087	1553705	Relating to hydrogen; and declaring an emergency.
SB688	drop:screened	lets the PUC build a utility performance incentive framework; enabling only	1595579	1593954	Relating to performance-based regulation of electric utilities.
SB726	batch-07	judged and imported	1583050	1584598	Relating to landfill emissions monitoring; and prescribing an effective date.
SB777	drop:filter-5	wolf depredation compensation rates; livestock loss against wolf recovery, contested direction	1583811		Relating to the depredation of livestock.
SB789	drop:screened	lets the psychology board charge costs to a disciplined licensee; narrow		1587511	Relating to the Oregon Board of Psychology; and prescribing an effective date.
SB793	drop:screened	sets fees and rates for easements on state submerged land; fee bill	1593111	1591925	Relating to easements on state land; and declaring an emergency.
SB805	drop:screened	shortens a TSPC complaint verification wait and adds civil penalties; narrow		1572184	Relating to complaints filed with the Teacher Standards and Practices Commission.
SB817	drop:screened	raises LUBA filing fees; fee bill	1571965		Relating to Land Use Board of Appeals fees.
SB822	batch-05	judged and imported	1594358	1591085	Relating to provider networks.
SB824	candidate		1595935	1595559	Relating to health insurance.
SB827	batch-07	judged and imported	1574023	1501258	Relating to the Oregon Solar and Storage Rebate Program.
SB833	drop:screened	changes rules on soil amendments; narrow		1501602	Relating to soil-enhancing products.
SB834	drop:screened	changes rules for mental health treatment facilities; narrow	1572178	1495244	Relating to facilities that provide mental health treatment.
SB836	drop:screened	raises DOGAMI fees; fee bill	1594720	1591457	Relating to fees imposed by the State Department of Geology and Mineral Industries.
SB837	drop:screened	widens who may join the SERV-OR health volunteer registry; narrow	1594272	1591033	Relating to a volunteer registry.
SB842	drop:screened	raises hospital licence fees and adds a late fee; fee bill	1596056	1594910	Relating to health care facilities; and prescribing an effective date.
SB844	drop:screened	mixes lab rules, overdose reporting, a new confidentiality rule and school health centre contracts; runs several ways		1595890	Relating to public health.
SB845	drop:screened	lets the PUC order the sale of a failing water utility; narrow		1544116	Relating to water utilities regulated by the Public Utility Commission.
SB846	drop:screened	changes how OHA monitors child health through CCOs; administrative	1572208		Relating to health care of children served by coordinated care organizations.
SB851	drop:screened	assorted PERS changes; no area carries a direction	1562098		Relating to administration of Public Employees Retirement System member account data.
SB853	drop:screened	raises Racing Commission licence fees; fee bill	1591765	1587587	Relating to Oregon Racing Commission license fees; and declaring an emergency.
SB854	drop:screened	lets the Racing Commission impose civil penalties; narrow	1569967	1530926	Relating to penalties for violation of animal racing law.
SB855	drop:screened	raises Racing Commission penalties for race-meet violations; narrow	1569485	1531154	Relating to civil penalties related to racing.
SB857	drop:screened	lets a person report to the Racing Commission anonymously; narrow	1584075	1531094	Relating to reporting on violation of animal racing laws.
SB859	drop:screened	lets the OED director make paid-leave accounting adjustments; administrative		1479575	Relating to accounting adjustments concerning the paid leave program; and prescribing an effective date.
SB867	batch-06	judged and imported	1569520		Relating to investigations by the Department of Education.
SB870	drop:screened	exempts OLCC permittee home addresses from disclosure; privacy against transparency, no honest direction	1572156		Relating to public records disclosure of OLCC permittee personal information.
SB872	drop:screened	modifies State Marine Board laws; narrow		1544980	Relating to disciplinary actions imposed by the State Mortuary and Cemetery Board.
SB904	drop:screened	lets school districts seek an exemption from self-insurance proof; narrow	1573112		Relating to self-insured employers.
SB906	batch-03	House only; the Senate roll is held, LegiScan puts Girod on the wrong side	1574179	1543833	Relating to transparency concerning employer deductions from wages.
SB914	drop:screened	requires a problem-gambling helpline number on lottery billboards; narrow	1573206		Relating to problem gambling.
SB916	batch-04	judged and imported	1590864	1590862	Relating to unemployment insurance benefits for employees unemployed due to a labor dispute.
SB951	batch-04	judged and imported	1579955	1539698	Relating to the practice of health care; and declaring an emergency.
SB952	drop:filter-5	lets the Governor appoint a US Senator pending a special election; appointment against election is a contested structural question	1584127	1558808	Relating to vacancies in the United States Senate.
SB968	drop:screened	sets how public employers recoup wages paid in error; narrow	1594456	1592314	Relating to deductions from employee wages.
SB982	batch-08	judged and imported	1578807		Relating to out-of-state residential placements of students; and declaring an emergency.
SB1032	batch-07	judged and imported		1555828	Relating to aerosol dusters that contain 1,1-Difluoroethane.
SB1051	drop:screened	gives the Governor the power to appoint the State Forester; appointment structure	1595540	1592274	Relating to the State Forester; and declaring an emergency.
SB1098	batch-01	judged and imported	1587412	1530994	Relating to access to materials in schools; and declaring an emergency.
SB1109	drop:filter-5	narrows which boards must record meetings; technical and arguably reduces transparency	1574618		Relating to education; and declaring an emergency.
SB1125	drop:filter-5	its only divided Senate roll is superseded by a 27-2 concurrence		1536250	Relating to unmanned aircraft systems.
SB1154	batch-04	judged and imported	1595898	1591482	Relating to ground water.
SB1168	candidate		1595608	1593890	Relating to per-visit compensation for home health care entities.
SB1173	batch-06	judged and imported	1595933		Relating to product liability civil actions; and prescribing an effective date.
SB1175	drop:screened	creates a task force on barriers to jury service; study body only	1571595		Relating to a task force on removing barriers to jury service; and prescribing an effective date.
SB1176	drop:screened	directs an agency to publicise the cash-acceptance law; narrow	1570611		Relating to education efforts concerning the obligation of places of public accommodation to accept cash as payment; and prescribing an effective date.
SB1182	drop:screened	lets ODOT lease or sell surplus Rose Quarter land to a charity; single-project		1581689	Relating to disposition of surplus real property of the Interstate 5 Rose Quarter Project.
SB1191	batch-06	judged and imported	1573964		Relating to informing others of their rights.
SB5501	excluded:appropriations	budget or fee-ratification bill	1589025	1583222	Relating to the financial administration of the Oregon Advocacy Commissions Office; and declaring an emergency.
SB5503	excluded:appropriations	budget or fee-ratification bill	1590964	1585476	Relating to state financial administration; and declaring an emergency.
SB5507	excluded:appropriations	budget or fee-ratification bill	1584991	1575991	Relating to the financial administration of the State Board of Chiropractic Examiners; and declaring an emergency.
SB5508	excluded:appropriations	budget or fee-ratification bill	1584889	1576018	Relating to the financial administration of the Columbia River Gorge Commission; and declaring an emergency.
SB5510	excluded:appropriations	budget or fee-ratification bill	1573725	1567713	Relating to state financial administration; and declaring an emergency.
SB5511	excluded:appropriations	budget or fee-ratification bill	1594107	1592082	Relating to the financial administration of the Department of Consumer and Business Services; and declaring an emergency.
SB5514	excluded:appropriations	budget or fee-ratification bill		1591143	Relating to the financial administration of the Department of Early Learning and Care; and declaring an emergency.
SB5515	excluded:appropriations	budget or fee-ratification bill	1595587	1593950	Relating to the financial administration of the Department of Education; and declaring an emergency.
SB5518	excluded:appropriations	budget or fee-ratification bill	1590643	1583044	Relating to the financial administration of the State Department of Energy; and declaring an emergency.
SB5519	excluded:appropriations	budget or fee-ratification bill	1591178	1583234	Relating to state financial administration; and declaring an emergency.
SB5520	excluded:appropriations	budget or fee-ratification bill	1590991	1585516	Relating to the financial administration of the Department of Environmental Quality; and declaring an emergency.
SB5522	excluded:appropriations	budget or fee-ratification bill	1584850		Relating to the financial administration of the Oregon Government Ethics Commission; and declaring an emergency.
SB5525	excluded:appropriations	budget or fee-ratification bill	1594095	1590957	Relating to the financial administration of the Higher Education Coordinating Commission; and declaring an emergency.
SB5526	excluded:appropriations	budget or fee-ratification bill		1592270	Relating to the financial administration of the Department of Human Services; and declaring an emergency.
SB5527	excluded:appropriations	budget or fee-ratification bill	1594177	1592071	Relating to state financial administration; and declaring an emergency.
SB5528	excluded:appropriations	budget or fee-ratification bill	1594189	1592275	Relating to the financial administration of the Department of Land Conservation and Development; and declaring an emergency.
SB5532	excluded:appropriations	budget or fee-ratification bill	1584775	1576133	Relating to the financial administration of specified boards; and declaring an emergency.
SB5537	excluded:appropriations	budget or fee-ratification bill	1594719		Relating to the financial administration of the Secretary of State; and declaring an emergency.
SB5539	excluded:appropriations	budget or fee-ratification bill	1584784		Relating to the financial administration of the Department of State Lands; and declaring an emergency.
SB5541	excluded:appropriations	budget or fee-ratification bill	1595857	1594996	Relating to the financial administration of the Department of Transportation; and declaring an emergency.
SB5543	excluded:appropriations	budget or fee-ratification bill	1595435	1593874	Relating to the financial administration of the Water Resources Department; and declaring an emergency.
SB5544	excluded:appropriations	budget or fee-ratification bill	1584822	1576135	Relating to state financial administration; and declaring an emergency.
SB5545	excluded:appropriations	budget or fee-ratification bill	1594415	1592241	Relating to state financial administration; and declaring an emergency.
SB5547	excluded:appropriations	budget or fee-ratification bill		1583037	Relating to state financial administration; and declaring an emergency.
SB5550	excluded:appropriations	budget or fee-ratification bill	1534111		Relating to state financial administration; and declaring an emergency.
